2026-05-07 08:46:27.648 PRESENT  id=com.intellij.javaee.el version=253.30387.90
2026-05-07 08:46:27.650 PRESENT  id=com.intellij.spring.security version=253.30387.90
2026-05-07 08:46:27.651 PRESENT  id=com.intellij.spring.modulith version=253.30387.90
2026-05-07 08:46:27.653 PRESENT  id=com.intellij.spring.boot version=253.30387.90
2026-05-07 08:46:27.654 PRESENT  id=com.intellij.spring.messaging version=253.30387.90
2026-05-07 08:46:27.656 PRESENT  id=com.intellij.gradle version=253.30387.90
2026-05-07 08:46:27.658 PRESENT  id=org.jetbrains.idea.gradle.dsl version=253.30387.90
2026-05-07 08:46:27.660 PRESENT  id=com.intellij.liquibase version=253.30387.90
2026-05-07 08:46:27.661 PRESENT  id=com.intellij.plugins.netbeanskeymap version=253.30387.90
2026-05-07 08:46:27.663 PRESENT  id=com.intellij.javaee.web version=253.30387.90
2026-05-07 08:46:27.665 PRESENT  id=intellij.platform.ijent.impl version=253.30387.90
2026-05-07 08:46:27.666 PRESENT  id=es.iesclaradelrey.controlex version=1.9.0
2026-05-07 08:46:27.667 PRESENT  id=com.jetbrains.station version=253.30387.90
2026-05-07 08:46:27.670 PRESENT  id=intellij.grid.plugin version=253.30387.90
2026-05-07 08:46:27.671 PRESENT  id=com.intellij.flyway version=253.30387.90
2026-05-07 08:46:27.673 PRESENT  id=com.intellij.jsp version=253.30387.90
2026-05-07 08:46:27.675 PRESENT  id=org.jetbrains.kotlin version=253.30387.90-IJ
2026-05-07 08:46:27.676 PRESENT  id=intellij.ktor version=253.30387.90
2026-05-07 08:46:27.677 PRESENT  id=com.intellij.plugins.visualstudiokeymap version=253.30387.90
2026-05-07 08:46:27.679 PRESENT  id=com.intellij.completion.ml.ranking version=253.30387.90
2026-05-07 08:46:27.681 PRESENT  id=com.intellij.spring.cloud version=253.30387.90
2026-05-07 08:46:27.683 PRESENT  id=com.intellij.spring.integration version=253.30387.90
2026-05-07 08:46:27.685 PRESENT  id=intellij.indexing.shared.core version=253.30387.90
2026-05-07 08:46:27.687 PRESENT  id=intellij.indexing.shared version=253.30387.90
2026-05-07 08:46:27.691 PRESENT  id=com.intellij.swagger version=253.30387.90
2026-05-07 08:46:27.692 PRESENT  id=com.jetbrains.restWebServices version=253.30387.90
2026-05-07 08:46:27.694 PRESENT  id=com.jetbrains.restClient version=253.30387.92
2026-05-07 08:46:27.695 PRESENT  id=com.jetbrains.remoteDevServer version=253.30387.90
2026-05-07 08:46:27.696 PRESENT  id=JBoss version=253.30387.90
2026-05-07 08:46:27.698 PRESENT  id=Tomcat version=253.30387.90
2026-05-07 08:46:27.699 PRESENT  id=com.intellij.javaee.app.servers.integration version=253.30387.90
2026-05-07 08:46:27.701 PRESENT  id=XPathView version=253.30387.90
